Year,State_Abbreviation,State,Population,Violent_Crime,Homicide,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary
1984,SC,South Carolina,3300000,20607,305,1329,3408,15565,133270,40646
1984,SD,South Dakota,706000,1041,13,190,105,733,17403,3529
1984,TN,Tennessee,4717000,21010,394,1887,7867,10862,162462,53002
1984,TX,Texas,15989000,80737,2093,7343,28540,42761,883391,266074
1984,UT,Utah,1652000,4035,47,336,958,2694,74703,14176
1984,VA,Virginia,5636000,16660,434,1503,5765,8958,196581,47436
1984,VT,Vermont,530000,769,12,105,122,530,20261,5387
1984,WA,Washington,4349000,17676,202,2176,5247,10051,247687,74021
1984,WI,Wisconsin,4766000,9367,117,790,3167,5293,189484,39755
1984,WV,West Virginia,1952000,3283,86,305,744,2148,42313,12649
1984,WY,Wyoming,511000,1237,17,107,118,995,17582,3279
1985,AK,Alaska,521000,3031,51,402,484,2094,27588,6209
1985,AL,Alabama,4021000,18398,396,1079,4237,12686,140115,41612
1985,AR,Arkansas,2359000,8199,187,686,1617,5709,76372,22207
1985,AZ,Arizona,3187000,19202,254,1458,4670,12820,207591,59585
1985,CA,California,26365000,201763,2770,11421,86387,101185,1516710,448506
1985,CO,Colorado,3231000,15219,189,1321,4012,9697,208336,56480
1985,CT,Connecticut,3174000,12758,120,763,6032,5843,136572,36041
1985,DC,District of Columbia,626000,10171,147,337,5230,4457,39904,10005
1985,DE,Delaware,622000,2695,30,296,773,1596,28164,6826
1985,FL,Florida,11366000,106971,1296,6004,35506,64165,753918,228402
1985,GA,Georgia,5976000,30311,620,2587,9812,17292,275070,81070
1985,HI,Hawaii,1054000,2313,43,310,1048,912,52501,12164
1985,IA,Iowa,2884000,6106,55,363,1187,4501,107607,26349
1985,ID,Idaho,1005000,2360,22,192,269,1877,36916,8917
1985,IL,Illinois,11535000,82448,927,4529,33120,43872,530205,131015
1985,IN,Indiana,5499000,17014,319,1318,5065,10312,198220,50295
1985,KS,Kansas,2450000,8716,121,719,1929,5947,98474,25740
1985,KY,Kentucky,3726000,11384,256,806,2821,7501,98428,28739
1985,LA,Louisiana,4481000,31108,487,1782,8526,20313,218195,59326
1985,MA,Massachusetts,5822000,31334,202,1734,10974,18424,245665,65231
1985,MD,Maryland,4392000,36655,348,1700,13272,21335,199318,52995
1985,ME,Maine,1164000,1950,28,167,284,1471,40789,10607
1985,MI,Michigan,9088000,66714,1018,6140,26572,32984,511852,138792
1985,MN,Minnesota,4193000,10751,88,1242,3598,5823,162597,42663
1985,MO,Missouri,5029000,25321,409,1468,7425,16019,194247,55252
1985,MS,Mississippi,2613000,7079,276,698,1635,4470,78254,26701
1985,MT,Montana,826000,1722,48,159,173,1342,35855,6835
1985,NC,North Carolina,6255000,26327,520,1488,4893,19426,231465,71985
1985,ND,North Dakota,685000,322,7,50,44,221,18032,2925
1985,NE,Nebraska,1606000,3821,47,376,779,2619,55514,11730
1985,NH,New Hampshire,998000,1405,21,191,266,927,31049,7608
1985,NJ,New Jersey,7562000,41172,407,2424,19282,19059,344067,79923
1985,NM,New Mexico,1450000,10207,158,722,2003,7324,83843,25432
1985,NV,Nevada,936000,6244,96,564,2573,3011,55294,17312
1985,NY,New York,17783000,165365,1683,5706,89706,68270,828446,219633
1985,OH,Ohio,10744000,41000,554,3966,14301,22179,408882,104920
1985,OK,Oklahoma,3301000,13930,254,1252,3526,8898,165150,53216
1985,OR,Oregon,2687000,14807,125,1363,4986,8333,166023,50690
1985,PA,Pennsylvania,11853000,39240,550,2886,17429,18375,320788,87417
1985,RI,Rhode Island,968000,3355,35,253,1122,1945,42368,11929
1985,SC,South Carolina,3347000,21121,304,1385,3143,16289,140892,41955
1985,SD,South Dakota,708000,967,13,168,121,665,17730,3867
1985,TN,Tennessee,4762000,22592,429,2027,8614,11522,175827,55563
1985,TX,Texas,16370000,90030,2132,8364,31680,47854,985265,289825
1985,UT,Utah,1645000,4398,50,381,908,3059,83072,15511
1985,VA,Virginia,5706000,16813,405,1551,5720,9137,198821,44797
1985,VT,Vermont,535000,790,18,103,112,557,20011,5210
1985,WA,Washington,4409000,18757,231,2420,5821,10285,269099,79859
1985,WI,Wisconsin,4775000,9880,135,875,3351,5519,181918,37987
1985,WV,West Virginia,1936000,3214,73,359,728,2054,40401,11972
1985,WY,Wyoming,509000,1307,22,114,102,1069,19130,3515
1986,AK,Alaska,534000,3046,46,388,470,2142,30307,6204
1986,AL,Alabama,4053000,22616,409,1150,4523,16534,151191,46974
1986,AR,Arkansas,2372000,9365,191,686,1890,6598,83729,24429
1986,AZ,Arizona,3317000,21835,307,1425,5614,14489,221015,63278
1986,CA,California,26981000,248370,3038,12119,92512,140701,1576299,457698
